code_insee_com,nom_commune,nom_poll,valeur_poll,population,Force_vent_med,Tmax_med,revenu_median
12202,Rodez,NO,5.019588477366256,24207,3.5,15.6,22210.0
12202,Rodez,NO2,10.028112118713933,24207,3.5,15.6,22210.0
12202,Rodez,NOX,17.870387393302693,24207,3.5,15.6,22210.0
12202,Rodez,O3,60.963832077502694,24207,3.5,15.6,22210.0
12202,Rodez,PM10,10.788389923329682,24207,3.5,15.6,22210.0
12202,Rodez,PM2.5,6.677851851851852,24207,3.5,15.6,22210.0
30007,Alès,NO,6.312386156648452,43892,2.8,20.7,18000.0
30007,Alès,NO2,11.390089285714286,43892,2.8,20.7,18000.0
30007,Alès,NOX,20.972,43892,2.8,20.7,18000.0
30007,Alès,O3,42.82357723577236,43892,2.8,20.7,18000.0
30007,Alès,PM10,11.863744075829384,43892,2.8,20.7,18000.0
30007,Alès,PM2.5,7.436890951276102,43892,2.8,20.7,18000.0
30061,Calmette,O3,51.60124153498871,2516,3.3,21.2,21630.0
30189,Nîmes,NO,8.676541459957477,148104,3.3,19.5,18760.0
30189,Nîmes,NO2,18.212889879057926,148104,3.3,19.5,18760.0
30189,Nîmes,NOX,27.325525946704065,148104,3.3,19.5,18760.0
30189,Nîmes,O3,56.4835005574136,148104,3.3,19.5,18760.0
30189,Nîmes,PM10,15.818396226415095,148104,3.3,19.5,18760.0
30189,Nîmes,PM2.5,8.687536372453929,148104,3.3,19.5,18760.0
30315,Saze,O3,59.69792110874201,2104,3.9,19.8,24560.0
31060,Bélesta-en-Lauragais,O3,64.08682087143626,110,4.6,17.6,22770.0
31066,Bessières,PM10,12.237682789651293,4197,3.0,12.4,23110.0
31069,Blagnac,NO,6.220481436148511,26466,3.6,18.1,25350.0
31069,Blagnac,NO2,14.255893708834884,26466,3.6,18.1,25350.0
31069,Blagnac,NOX,24.13093254501478,26466,3.6,18.1,25350.0
31069,Blagnac,PM10,13.247201138519923,26466,3.6,18.1,25350.0
31069,Blagnac,PM2.5,8.603547963206308,26466,3.6,18.1,25350.0
31344,Miramont-de-Comminges,H2S,1.2440337224383917,747,1.8,18.3,20040.0
31344,Miramont-de-Comminges,O3,49.3289156626506,747,1.8,18.3,20040.0
31344,Miramont-de-Comminges,SO2,0.9093911917098445,747,1.8,18.3,20040.0
31381,Montgiscard,NO2,5.422265372168285,2586,2.9,19.4,27200.0
31381,Montgiscard,O3,61.45418666666667,2586,2.9,19.4,27200.0
31483,Saint-Gaudens,H2S,0.8438446346280447,11613,2.2,18.25,19530.0
31483,Saint-Gaudens,SO2,0.42291529875246225,11613,2.2,18.25,19530.0
31555,Toulouse,NO,21.208003779187475,504078,3.6,18.1,22140.0
31555,Toulouse,NO2,24.101680574872507,504078,3.6,18.1,22140.0
31555,Toulouse,NOX,55.78673403569125,504078,3.6,18.1,22140.0
31555,Toulouse,O3,55.14914636485709,504078,3.6,18.1,22140.0
31555,Toulouse,PM10,16.326953597848014,504078,3.6,18.1,22140.0
31555,Toulouse,PM2.5,9.418614368513277,504078,3.6,18.1,22140.0
32013,Auch,NO,5.084453781512605,23041,2.0,18.9,21800.0
32013,Auch,NO2,10.347809377402,23041,2.0,18.9,21800.0
32013,Auch,NOX,17.90950980392157,23041,2.0,18.9,21800.0
32013,Auch,O3,48.073348519362185,23041,2.0,18.9,21800.0
32013,Auch,PM10,12.813125000000001,23041,2.0,18.9,21800.0
32013,Auch,PM2.5,8.272188139059304,23041,2.0,18.9,21800.0
32139,Gaudonville,O3,64.42239444147515,108,3.1,18.6,N/A - secret statistique
32317,Peyrusse-Vieille,NO,0.1475475113122172,65,2.9,18.1,N/A - secret statistique
32317,Peyrusse-Vieille,NO2,0.8803862660944206,65,2.9,18.1,N/A - secret statistique
32317,Peyrusse-Vieille,NOX,1.0464855286473715,65,2.9,18.1,N/A - secret statistique
32317,Peyrusse-Vieille,O3,63.60838779956427,65,2.9,18.1,N/A - secret statistique
32317,Peyrusse-Vieille,PM10,9.381901489117984,65,2.9,18.1,N/A - secret statistique
32317,Peyrusse-Vieille,PM2.5,6.062742980561556,65,2.9,18.1,N/A - secret statistique
34003,Agde,NO,0.9872093023255814,29103,3.2,19.55,20410.0
34003,Agde,NO2,5.720142027114267,29103,3.2,19.55,20410.0
34003,Agde,NOX,7.289449838187703,29103,3.2,19.55,20410.0
34003,Agde,O3,68.41523109243698,29103,3.2,19.55,20410.0
34003,Agde,PM10,12.836363636363636,29103,3.2,19.55,20410.0
34003,Agde,PM2.5,7.47427293064877,29103,3.2,19.55,20410.0
34032,Béziers,NO,10.823636363636362,80341,4.0,19.5,16830.0
34032,Béziers,NO2,17.609006734006734,80341,4.0,19.5,16830.0
34032,Béziers,NOX,34.284615384615385,80341,4.0,19.5,16830.0
34032,Béziers,PM10,13.06335403726708,80341,4.0,19.5,16830.0
34032,Béziers,PM2.5,8.202366863905326,80341,4.0,19.5,16830.0
34084,Corneilhan,O3,65.52119450317124,1663,3.1,19.5,22500.0
34129,Lattes,O3,60.31519274376417,17544,2.6,19.9,26460.0
34146,Lunel-Viel,NO,3.178066612510154,4488,2.5,20.4,21680.0
34146,Lunel-Viel,NO2,8.011074918566775,4488,2.5,20.4,21680.0
34146,Lunel-Viel,NOX,12.81525974025974,4488,2.5,20.4,21680.0
34146,Lunel-Viel,PM10,13.032087912087913,4488,2.5,20.4,21680.0
34146,Lunel-Viel,PM2.5,8.222186904005087,4488,2.5,20.4,21680.0
34172,Montpellier,NO,23.70334672021419,302454,2.6,19.0,19670.0
34172,Montpellier,NO2,26.10256599321634,302454,2.6,19.0,19670.0
34172,Montpellier,NOX,66.03553246753248,302454,2.6,19.0,19670.0
34172,Montpellier,O3,54.306584821428565,302454,2.6,19.0,19670.0
34172,Montpellier,PM10,20.192210144927536,302454,2.6,19.0,19670.0
34172,Montpellier,PM2.5,10.04380620829707,302454,2.6,19.0,19670.0
34255,Saint-Gély-du-Fesc,O3,63.8913752913753,10537,2.2,19.8,29940.0
34301,Sète,NO,6.665425531914893,44712,4.8,17.9,19960.0
34301,Sète,NO2,19.12080344332855,44712,4.8,17.9,19960.0
34301,Sète,NOX,22.94148936170213,44712,4.8,17.9,19960.0
46029,Biars-sur-Cère,PM10,12.353846153846154,1973,2.6,19.95,20730.0
46029,Biars-sur-Cère,PM2.5,8.346153846153847,1973,2.6,19.95,20730.0
48095,Mende,PM10,7.521134020618557,12316,2.6,16.1,22980.0
48095,Mende,PM2.5,5.577319587628866,12316,2.6,16.1,22980.0
65025,Argelès-Gazost,NO,5.837666666666666,2850,2.0,18.9,21770.0
65025,Argelès-Gazost,NO2,10.022333333333334,2850,2.0,18.9,21770.0
65025,Argelès-Gazost,NOX,18.918999999999997,2850,2.0,18.9,21770.0
65025,Argelès-Gazost,O3,44.10564137004701,2850,2.0,18.9,21770.0
65025,Argelès-Gazost,PM10,14.552486187845304,2850,2.0,18.9,21770.0
65025,Argelès-Gazost,PM2.5,8.748295454545454,2850,2.0,18.9,21770.0
65159,Escala,NO,1.0246153846153845,352,2.6,16.15,22430.0
65159,Escala,NO2,5.430769230769231,352,2.6,16.15,22430.0
65159,Escala,NOX,6.964615384615384,352,2.6,16.15,22430.0
65159,Escala,PM10,9.515151515151516,352,2.6,16.15,22430.0
65159,Escala,PM2.5,6.142424242424242,352,2.6,16.15,22430.0
65286,Lourdes,NO,3.786938775510204,13509,2.5,18.5,18810.0
65286,Lourdes,NO2,9.574952681388012,13509,2.5,18.5,18810.0
65286,Lourdes,NOX,15.675779114270092,13509,2.5,18.5,18810.0
65286,Lourdes,O3,52.71042911461162,13509,2.5,18.5,18810.0
65286,Lourdes,PM10,12.362134831460674,13509,2.5,18.5,18810.0
65286,Lourdes,PM2.5,7.635922330097087,13509,2.5,18.5,18810.0
65440,Tarbes,NO,6.9651524579962665,43955,2.5,17.4,19070.0
65440,Tarbes,NO2,12.99228356336261,43955,2.5,17.4,19070.0
65440,Tarbes,NOX,23.66446795270691,43955,2.5,17.4,19070.0
65440,Tarbes,O3,51.10217746325531,43955,2.5,17.4,19070.0
65440,Tarbes,PM10,13.783612040133779,43955,2.5,17.4,19070.0
65440,Tarbes,PM2.5,9.621992238033636,43955,2.5,17.4,19070.0
66020,Bolquère,PM10,9.244444444444444,808,2.8,14.7,23310.0
66020,Bolquère,PM2.5,5.218491921005386,808,2.8,14.7,23310.0
66136,Perpignan,NO,29.177998345740278,119656,4.5,19.45,17380.0
66136,Perpignan,NO2,25.470739726027396,119656,4.5,19.45,17380.0
66136,Perpignan,NOX,81.76218220338983,119656,4.5,19.45,17380.0
66136,Perpignan,O3,61.36163155535634,119656,4.5,19.45,17380.0
66136,Perpignan,PM10,18.269470752089134,119656,4.5,19.45,17380.0
66136,Perpignan,PM2.5,8.127952755905511,119656,4.5,19.45,17380.0
66172,Saint-Estève,O3,66.46867073743542,11550,4.5,19.45,22170.0
81004,Albi,NO,2.7369057211925867,49714,2.4,18.6,21650.0
81004,Albi,NO2,9.995145190562614,49714,2.4,18.6,21650.0
81004,Albi,NOX,14.577422790202343,49714,2.4,18.6,21650.0
81004,Albi,PM10,12.943207126948774,49714,2.4,18.6,21650.0
81004,Albi,PM2.5,9.670588235294117,49714,2.4,18.6,21650.0
81065,Castres,NO,1.6176616915422886,42672,2.1,20.4,20940.0
81065,Castres,NO2,5.764749383730485,42672,2.1,20.4,20940.0
81065,Castres,NOX,8.020585842148087,42672,2.1,20.4,20940.0
81065,Castres,O3,54.737107258938245,42672,2.1,20.4,20940.0
81065,Castres,PM10,12.696830601092897,42672,2.1,20.4,20940.0
81065,Castres,PM2.5,8.674117647058823,42672,2.1,20.4,20940.0
82121,Montauban,NO,9.23659976387249,61919,2.2,18.6,21630.0
82121,Montauban,NO2,14.054297569650267,61919,2.2,18.6,21630.0
82121,Montauban,NOX,26.34982078853047,61919,2.2,18.6,21630.0
82121,Montauban,O3,49.18942088463292,61919,2.2,18.6,21630.0
82121,Montauban,PM10,12.868449781659388,61919,2.2,18.6,21630.0
82121,Montauban,PM2.5,9.693802966101696,61919,2.2,18.6,21630.0
9261,Saint-Girons,NO,3.5043478260869567,6250,2.0,17.5,20320.0
9261,Saint-Girons,NO2,8.10375816993464,6250,2.0,17.5,20320.0
9261,Saint-Girons,NOX,13.767434210526316,6250,2.0,17.5,20320.0
9261,Saint-Girons,O3,48.51223628691984,6250,2.0,17.5,20320.0
9261,Saint-Girons,PM10,11.771617161716172,6250,2.0,17.5,20320.0
9261,Saint-Girons,PM2.5,7.476972833117723,6250,2.0,17.5,20320.0
